epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.630419205665;0.687435;0.736120865605;0.75941129339;0.693217255717;0.751088;0.649528;0.560681;0.814189;0.618522;0.429140757469;0.764882139872;0.634569464489;0.433601609658;0.929501;0.312552;0.570876;0.818378
1;0.602156605572;0.690359;0.758402877705;0.773175320103;0.701793139293;0.762263;0.649398;0.553274;0.827443;0.615609;0.452168467089;0.778099609919;0.61912529342;0.473460721868;0.937204;0.314113;0.561598;0.842162
2;0.593316940254;0.698545;0.766416983848;0.780546427242;0.707548395479;0.768353;0.657558;0.568477;0.828612;0.625598;0.465334458715;0.782602396211;0.650817101704;0.469321851453;0.934084;0.318522;0.577062;0.829189
3;0.588751340591;0.69744;0.770134075448;0.780682122243;0.70663895024;0.677077;0.723095;0.754938;0.639943;0.737565;0.470084126239;0.781587489551;0.578372233281;0.481243301179;0.905042;0.39313;0.754124;0.668108
4;0.58052562875;0.717386;0.78026147326;0.790585096856;0.716735966736;0.724504;0.710705;0.701533;0.733238;0.699688;0.486842552979;0.788017135692;0.605912279413;0.485468245425;0.91801;0.362963;0.689691;0.741622
5;0.578397079121;0.704067;0.785123984924;0.790745425304;0.713134987658;0.761184;0.667449;0.594725;0.81341;0.629136;0.48497145311;0.789277375313;0.604580511908;0.492972972973;0.928513;0.318201;0.585825;0.810811
6;0.574933288631;0.713942;0.783117663421;0.793864713519;0.717255717256;0.766209;0.678831;0.615774;0.81211;0.647034;0.48723715857;0.790601281694;0.613946262073;0.486486486486;0.93026;0.329951;0.608505;0.808649
7;0.576556281402;0.69757;0.78621878329;0.79202771521;0.711261202754;0.803311;0.646498;0.523259;0.871881;0.580021;0.48694666112;0.783440512678;0.684500520857;0.473175965665;0.943333;0.297967;0.510567;0.871351
8;0.570951667605;0.71927;0.791110332414;0.797508893366;0.718888022863;0.723244;0.715435;0.710369;0.72817;0.703642;0.49837373594;0.787986207857;0.550104571077;0.487567567568;0.915989;0.365353;0.696907;0.731892
9;0.566603965322;0.722843;0.79442877068;0.801531734362;0.723492723493;0.731319;0.714966;0.704522;0.741164;0.699688;0.495506101201;0.788267066035;0.57103611162;0.488648648649;0.918585;0.363252;0.689175;0.743784
10;0.566594391372;0.722518;0.793359714452;0.799273232294;0.722676001556;0.72459;0.720484;0.717905;0.727131;0.711134;0.489480968018;0.785997770967;0.616250031213;0.484946236559;0.917281;0.372732;0.705928;0.732973
11;0.562720497911;0.716801;0.793750336816;0.799489437638;0.721283783784;0.741427;0.696734;0.6658;0.767801;0.670135;0.483247063343;0.781870576762;0.586158865709;0.473002159827;0.920176;0.340887;0.64768;0.764324
12;0.560988836718;0.7194;0.802177172129;0.808120185081;0.72856029106;0.686595;0.766199;0.807302;0.631497;0.75692;0.50592078116;0.789362635832;0.546465846825;0.492972972973;0.898589;0.4134;0.787887;0.627027
13;0.560752083995;0.7283;0.803323798651;0.809455346569;0.730494612489;0.760219;0.703357;0.66697;0.789631;0.670968;0.503929566888;0.789250208972;0.597128784706;0.484913793103;0.924013;0.343362;0.645619;0.777297
14;0.559479323679;0.70764;0.793765596656;0.798386065229;0.719984407484;0.772417;0.667751;0.588747;0.826533;0.625182;0.49189299435;0.790178183338;0.674311581524;0.495726495726;0.936948;0.319456;0.574485;0.837838
15;0.558534215865;0.712318;0.803120979216;0.809921820297;0.73025974026;0.809704;0.661526;0.555094;0.869543;0.596462;0.495409940327;0.792125661744;0.659363570757;0.492972972973;0.939339;0.3047;0.534794;0.855135
16;0.554570375417;0.720829;0.804331173223;0.808953383119;0.727260914761;0.780677;0.682018;0.614215;0.827443;0.634755;0.505670603223;0.790369322931;0.625634053024;0.490928495197;0.928946;0.321735;0.593041;0.80973
17;0.553841583191;0.720829;0.806943892851;0.811390963081;0.730869001297;0.787709;0.679178;0.6046;0.837058;0.623725;0.502374826867;0.787594037336;0.632952733467;0.492972972973;0.928099;0.314885;0.578866;0.811892
18;0.550811039993;0.730834;0.81382449214;0.816178968892;0.734701831883;0.771346;0.700848;0.656185;0.805483;0.660978;0.495032027301;0.786301058791;0.582237696933;0.490280777538;0.925842;0.337188;0.63067;0.788108
