epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.638126069732;0.670683;0.721169504329;0.737872713255;0.682791214901;0.724655;0.637621;0.550561;0.790805;0.593556;0.399841660551;0.738661339472;0.662020283206;0.421323529412;0.919693;0.294118;0.544676;0.799558
1;0.618640566001;0.665029;0.74178995481;0.751929212942;0.689399555226;0.740836;0.62552;0.507647;0.822412;0.566987;0.412507549706;0.74944473315;0.716631207916;0.436993367723;0.925344;0.284197;0.504983;0.828298
2;0.613996083958;0.682315;0.742288284667;0.75436693506;0.688536743583;0.64364;0.749493;0.816943;0.547687;0.760317;0.41599865323;0.750394327406;0.554416564341;0.439882697947;0.885566;0.408822;0.807834;0.560059
3;0.610289173243;0.684818;0.738564975106;0.753972132614;0.689805375348;0.705482;0.66793;0.634535;0.735101;0.649802;0.401939392852;0.747643860727;0.615562321642;0.435897435897;0.909114;0.320064;0.629656;0.734709
4;0.602686410198;0.670868;0.747601324692;0.759467116696;0.69255723422;0.749492;0.629925;0.513301;0.828436;0.573488;0.422994359468;0.752954282503;0.672903104008;0.445995591477;0.927509;0.287975;0.512327;0.831245
5;0.600867130088;0.689962;0.753845566856;0.761836343733;0.69192293442;0.703707;0.677954;0.656224;0.7237;0.66775;0.445768745575;0.757962089161;0.612634470818;0.450994841562;0.911334;0.333333;0.652387;0.732498
6;0.600342841909;0.697562;0.755945887147;0.765835273447;0.697062366787;0.695389;0.699784;0.703124;0.692001;0.700113;0.435466923088;0.759943422505;0.606910611931;0.448453608247;0.905707;0.355278;0.702046;0.691968
7;0.596285065165;0.687459;0.760542377932;0.76545090892;0.695615905089;0.722375;0.66202;0.608954;0.765965;0.639486;0.437624590656;0.757218726754;0.668996722399;0.450994841562;0.916185;0.317431;0.609722;0.764923
8;0.595621508695;0.690611;0.754224349263;0.763062481267;0.6930206692;0.707413;0.676327;0.650107;0.731115;0.658564;0.419316045777;0.748726497397;0.62797665879;0.440899202321;0.903888;0.322732;0.646267;0.710391
9;0.593255984285;0.700482;0.763388516913;0.77165387595;0.700879222582;0.676889;0.731337;0.76717;0.633794;0.732335;0.429987893203;0.758167741164;0.555638527722;0.463003663004;0.897031;0.381142;0.755552;0.634488
10;0.593519151365;0.697006;0.758490891216;0.767615226306;0.698193608152;0.67265;0.729362;0.767541;0.626471;0.734313;0.437563863356;0.757269237772;0.576256649854;0.460352422907;0.895529;0.382366;0.759923;0.626382
